cite,type,unit
[Saudi Arabia v. Nelson](https://scholar.google.com/scholar_case?case=15997705832480823650),sups,6
[Verlinden BV v. Central Bank of Nigeria](https://scholar.google.com/scholar_case?case=12305885770783175808),sups,6
[Walters V. Industrial And Commercial Bank Of China](https://www.courtlistener.com/opinion/2502147/walters-v-industrial-and-commercial-bank-of-china/),sups,6
[Gleissner V. Air China Airlines Limited](https://scholar.google.com/scholar_case?case=3908553268744923367),sups,6
Trendtex Trading Corporation v Central Bank of Nigeria,sups,3
Trendtex Trading Corporation v Central Bank of Nigeria,sups,6
North Sea Continental Shelf Cases (Federal Republic of Germany v Denmark; FRG v The Netherlands),sups,3
Kolb:2014aa,refs,3
[Video: What are the sources of International Law?]( https://www.youtube.com/watch?v=0ViSYjt-wGw),refs,3
Military and Paramilitary Activities in and against Nicaragua (Nicaragua v United States),sups,1
Paquete Habana,sups,1
The Lotus,sups,1
Maritime Delimitation and Territorial Questions Between Qatar and Bahrain Case (Qatar v Bahrain),sups,1
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 1 & 2",refs,1
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 3 & 4",refs,2
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 5, 7 & 8",refs,3
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 6",refs,4
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 9 & 11",refs,5
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 10",refs,6
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 13",refs,7
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 14",refs,8
"Dixon, McCorquodale, Williams - Cases & Materials on International Law Chapters 15",refs,9
[Arab League slams Israeli plan to annex occupied West Bank](https://www.aljazeera.com/news/2020/04/arab-league-slams-israeli-plan-annex-occupied-west-bank-200430145602846.html),refs,3